epoch,accuracy,learning_rate,loss,macro_f1,val_accuracy,val_loss,val_macro_f1
0,0.3272347152233124,0.0010000000474974513,1.492308259010315,0.3145706057548523,0.07260524481534958,3.469733953475952,0.027091631665825844
1,0.4353110194206238,0.0010000000474974513,1.1847018003463745,0.4228430688381195,0.4185478985309601,1.164867639541626,0.303061306476593
2,0.5002613663673401,0.0010000000474974513,1.06023371219635,0.48711472749710083,0.4881024956703186,2.0320351123809814,0.30636367201805115
3,0.5403816103935242,0.0010000000474974513,0.9711543917655945,0.5307247042655945,0.2434411197900772,2.2566354274749756,0.20594295859336853
4,0.5844223499298096,0.0010000000474974513,0.9043943285942078,0.5779285430908203,0.46735814213752747,1.2599681615829468,0.5190216302871704
5,0.6125196218490601,0.0010000000474974513,0.8307929635047913,0.602502167224884,0.6186699271202087,0.8262137174606323,0.6122738122940063
6,0.6370883584022522,0.0010000000474974513,0.788262128829956,0.6276801228523254,0.5570470094680786,1.2852554321289062,0.5568073987960815
7,0.658912718296051,0.0010000000474974513,0.7535198330879211,0.6494426727294922,0.5417937636375427,1.132399559020996,0.520062267780304
8,0.6715891361236572,0.0010000000474974513,0.7082170844078064,0.6619921922683716,0.6235509514808655,1.0186636447906494,0.5302534699440002
9,0.6824359893798828,0.0010000000474974513,0.7098550796508789,0.671965479850769,0.6229408383369446,0.9835547208786011,0.5597681999206543
10,0.7171981334686279,0.0005000000237487257,0.6267133355140686,0.7101911306381226,0.6345332264900208,0.9416685104370117,0.6651111245155334
11,0.7284370064735413,0.0005000000237487257,0.613511860370636,0.7190341949462891,0.6070774793624878,1.1267480850219727,0.5586284399032593
12,0.7365394830703735,0.0005000000237487257,0.5887818336486816,0.7297589182853699,0.7175107002258301,0.6683228015899658,0.7509281039237976
13,0.7381076812744141,0.0005000000237487257,0.591015100479126,0.7309061288833618,0.6266015768051147,2.0753824710845947,0.4488871693611145
14,0.7485624551773071,0.0005000000237487257,0.5628672242164612,0.7399896383285522,0.6131787896156311,1.2118147611618042,0.5345037579536438
15,0.7523522973060608,0.0005000000237487257,0.5547733306884766,0.7425433993339539,0.7699816823005676,0.5550666451454163,0.772241473197937
16,0.7554887533187866,0.0005000000237487257,0.5337991714477539,0.7478787302970886,0.7327638864517212,0.8232543468475342,0.6931174993515015
17,0.7554887533187866,0.0005000000237487257,0.5417596101760864,0.7462188005447388,0.7998780012130737,0.5221004486083984,0.7794322967529297
18,0.767511785030365,0.0005000000237487257,0.5230029225349426,0.7585146427154541,0.625381350517273,1.3022794723510742,0.5515409708023071
19,0.7724778056144714,0.0005000000237487257,0.5076095461845398,0.7692104578018188,0.752898097038269,0.678720235824585,0.7407986521720886
20,0.7807109355926514,0.0005000000237487257,0.5016711950302124,0.7738051414489746,0.6467357873916626,0.9514635801315308,0.6924691200256348
21,0.7775744795799255,0.0005000000237487257,0.4959874153137207,0.7695604562759399,0.7596095204353333,0.6435205936431885,0.7475241422653198
22,0.7911657094955444,0.0002500000118743628,0.4701117277145386,0.7843853235244751,0.791336178779602,0.577205240726471,0.7669610977172852
23,0.8041034936904907,0.0002500000118743628,0.4405483901500702,0.7977010011672974,0.7827944159507751,0.637783944606781,0.7495473027229309
24,0.8030580282211304,0.0002500000118743628,0.44511160254478455,0.7972267866134644,0.7846247553825378,0.5736211538314819,0.7839353084564209
25,0.8050183057785034,0.0002500000118743628,0.4358297884464264,0.8012073636054993,0.7419158220291138,0.6607617735862732,0.7607873678207397
26,0.815342366695404,0.0001250000059371814,0.4119415581226349,0.8121455907821655,0.7797437310218811,0.5897365808486938,0.7855774760246277
27,0.81050705909729,0.0001250000059371814,0.4122752845287323,0.8073388934135437,0.8267236351966858,0.4584542512893677,0.8312126398086548
28,0.8235755562782288,0.0001250000059371814,0.4002818763256073,0.8210948705673218,0.7638804316520691,0.6126907467842102,0.7826499938964844
29,0.8285415768623352,0.0001250000059371814,0.3925212323665619,0.8248473405838013,0.772422194480896,0.5893591046333313,0.7822381258010864
30,0.8129900693893433,0.0001250000059371814,0.4109320044517517,0.8109734654426575,0.8285539746284485,0.4349101185798645,0.8312174081802368
31,0.824359655380249,0.0001250000059371814,0.3966379761695862,0.8195191621780396,0.7413056492805481,0.6678520441055298,0.7606248259544373
32,0.8257972002029419,0.0001250000059371814,0.3991427421569824,0.8227368593215942,0.8194020986557007,0.49101847410202026,0.8172464370727539
33,0.8274960517883301,0.0001250000059371814,0.39275839924812317,0.8236174583435059,0.8004881143569946,0.5327388644218445,0.8016828298568726
34,0.8246210217475891,0.0001250000059371814,0.39462000131607056,0.8227685689926147,0.8102501630783081,0.47641420364379883,0.8151055574417114
35,0.8316779732704163,6.25000029685907e-05,0.38161030411720276,0.8284640312194824,0.7827944159507751,0.6648727059364319,0.7479639053344727
36,0.8246210217475891,6.25000029685907e-05,0.39004209637641907,0.8218792676925659,0.7516778707504272,0.6998623013496399,0.7408145666122437
37,0.8204391002655029,6.25000029685907e-05,0.38523945212364197,0.8192412257194519,0.8120805621147156,0.5639113187789917,0.7842679023742676
38,0.828933596611023,6.25000029685907e-05,0.37936514616012573,0.8280795812606812,0.8041488528251648,0.614124596118927,0.7680619359016418
39,0.8331155180931091,3.125000148429535e-05,0.3801333010196686,0.8295758962631226,0.7864551544189453,0.6409726738929749,0.7642260789871216
40,0.8353371620178223,3.125000148429535e-05,0.36444640159606934,0.8321626782417297,0.7992678284645081,0.581523597240448,0.7825337648391724
